/blue/cis6930/cburrows/Deep-Learning/Part2
c44a-s13.ufhpc
Sun Oct 24 17:42:42 EDT 2021
Running part 2
/apps/python/3.8/lib/python3.8/site-packages/torch/nn/functional.py:718: UserWarning: Named tensors and all their associated APIs are an experimental feature and subject to change. Please do not use them for anything important until they are released as stable. (Triggered internally at  /pytorch/c10/core/TensorImpl.h:1156.)
  return torch.max_pool2d(input, kernel_size, stride, padding, dilation, ceil_mode)
Using GPU
 --- Loading Data ---
 --- Finished Loading Data, Training model ---
Let's use 4 GPUs!
[1,   112] loss: 11525.67021
[1,   224] loss: 562.40341
[1,   336] loss: 74.04611
[1,   448] loss: 65.64002
[1,   560] loss: 57.20257
[1,   672] loss: 49.07924
[2,   112] loss: 41.49384
[2,   224] loss: 36.26097
[2,   336] loss: 32.52214
[2,   448] loss: 29.96285
[2,   560] loss: 28.33458
[2,   672] loss: 26.36471
[3,   112] loss: 25.62691
[3,   224] loss: 24.81443
[3,   336] loss: 23.08095
[3,   448] loss: 22.78912
[3,   560] loss: 23.01258
[3,   672] loss: 22.13637
[4,   112] loss: 22.08440
[4,   224] loss: 21.14215
[4,   336] loss: 20.80986
[4,   448] loss: 20.80858
[4,   560] loss: 19.37518
[4,   672] loss: 19.48949
[5,   112] loss: 18.82474
[5,   224] loss: 18.55095
[5,   336] loss: 18.36843
[5,   448] loss: 18.28357
[5,   560] loss: 17.58011
[5,   672] loss: 18.26202
[6,   112] loss: 16.65358
[6,   224] loss: 17.25685
[6,   336] loss: 16.84419
[6,   448] loss: 17.25772
[6,   560] loss: 17.15514
[6,   672] loss: 16.13950
[7,   112] loss: 16.11643
[7,   224] loss: 15.13627
[7,   336] loss: 15.08463
[7,   448] loss: 14.95630
[7,   560] loss: 15.53288
[7,   672] loss: 14.48156
[8,   112] loss: 13.66581
[8,   224] loss: 13.84270
[8,   336] loss: 13.14840
[8,   448] loss: 13.99563
[8,   560] loss: 14.26683
[8,   672] loss: 13.93627
[9,   112] loss: 12.69179
[9,   224] loss: 11.91320
[9,   336] loss: 13.14248
[9,   448] loss: 12.44586
[9,   560] loss: 12.55249
[9,   672] loss: 11.96859
[10,   112] loss: 11.25250
[10,   224] loss: 11.18562
[10,   336] loss: 11.34732
[10,   448] loss: 10.79659
[10,   560] loss: 10.70264
[10,   672] loss: 11.79012
[11,   112] loss: 9.60559
[11,   224] loss: 9.87747
[11,   336] loss: 10.13231
[11,   448] loss: 10.44316
[11,   560] loss: 10.43282
[11,   672] loss: 10.12311
[12,   112] loss: 8.97824
[12,   224] loss: 8.84440
[12,   336] loss: 9.00368
[12,   448] loss: 9.53281
[12,   560] loss: 9.25617
[12,   672] loss: 9.17135
[13,   112] loss: 8.22440
[13,   224] loss: 7.91159
[13,   336] loss: 8.44189
[13,   448] loss: 8.04568
[13,   560] loss: 8.30875
[13,   672] loss: 8.11071
[14,   112] loss: 7.47997
[14,   224] loss: 7.18147
[14,   336] loss: 7.76821
[14,   448] loss: 8.17625
[14,   560] loss: 7.81635
[14,   672] loss: 7.86327
[15,   112] loss: 7.15730
[15,   224] loss: 6.60190
[15,   336] loss: 6.75322
[15,   448] loss: 6.64102
[15,   560] loss: 7.21213
[15,   672] loss: 7.70741
[16,   112] loss: 6.26290
[16,   224] loss: 6.74204
[16,   336] loss: 6.41641
[16,   448] loss: 7.05242
[16,   560] loss: 6.76918
[16,   672] loss: 6.60328
[17,   112] loss: 6.15843
[17,   224] loss: 5.92948
[17,   336] loss: 6.96383
[17,   448] loss: 7.74913
[17,   560] loss: 7.30615
[17,   672] loss: 6.49168
[18,   112] loss: 5.84330
[18,   224] loss: 6.07444
[18,   336] loss: 6.16306
[18,   448] loss: 6.45328
[18,   560] loss: 6.01924
[18,   672] loss: 6.15620
[19,   112] loss: 5.57805
[19,   224] loss: 5.49399
[19,   336] loss: 5.76401
[19,   448] loss: 5.82441
[19,   560] loss: 5.68384
[19,   672] loss: 5.85077
[20,   112] loss: 5.45349
[20,   224] loss: 5.50184
[20,   336] loss: 5.43799
[20,   448] loss: 5.52589
[20,   560] loss: 5.76822
[20,   672] loss: 5.62167
[21,   112] loss: 5.19844
[21,   224] loss: 5.18894
[21,   336] loss: 5.10890
[21,   448] loss: 5.36889
[21,   560] loss: 5.41754
[21,   672] loss: 5.41177
[22,   112] loss: 5.40076
[22,   224] loss: 5.18698
[22,   336] loss: 5.38471
[22,   448] loss: 5.48341
[22,   560] loss: 5.10414
[22,   672] loss: 5.13983
[23,   112] loss: 5.03196
[23,   224] loss: 5.00545
[23,   336] loss: 4.99876
[23,   448] loss: 5.14090
[23,   560] loss: 5.11352
[23,   672] loss: 5.05235
[24,   112] loss: 4.89045
[24,   224] loss: 5.04874
[24,   336] loss: 4.93633
[24,   448] loss: 4.96182
[24,   560] loss: 4.97911
[24,   672] loss: 5.12620
[25,   112] loss: 4.48198
[25,   224] loss: 4.65162
[25,   336] loss: 4.87619
[25,   448] loss: 4.59252
[25,   560] loss: 4.82870
[25,   672] loss: 5.11605
[26,   112] loss: 4.59939
[26,   224] loss: 4.57590
[26,   336] loss: 4.59375
[26,   448] loss: 4.50941
[26,   560] loss: 4.48292
[26,   672] loss: 4.72934
[27,   112] loss: 4.51435
[27,   224] loss: 4.63163
[27,   336] loss: 4.55672
[27,   448] loss: 4.69426
[27,   560] loss: 4.47649
[27,   672] loss: 4.56884
[28,   112] loss: 4.34979
[28,   224] loss: 4.28027
[28,   336] loss: 4.42502
[28,   448] loss: 4.26160
[28,   560] loss: 4.81549
[28,   672] loss: 4.56055
[29,   112] loss: 4.28418
[29,   224] loss: 4.48366
[29,   336] loss: 4.20754
[29,   448] loss: 4.28108
[29,   560] loss: 4.36084
[29,   672] loss: 4.50432
[30,   112] loss: 4.33891
[30,   224] loss: 4.21595
[30,   336] loss: 4.43713
[30,   448] loss: 4.48645
[30,   560] loss: 4.13903
[30,   672] loss: 4.32572
[31,   112] loss: 4.24891
[31,   224] loss: 5.71798
[31,   336] loss: 4.80758
[31,   448] loss: 4.33995
[31,   560] loss: 4.48168
[31,   672] loss: 4.28238
[32,   112] loss: 4.75589
[32,   224] loss: 4.40968
[32,   336] loss: 4.14868
[32,   448] loss: 4.10231
[32,   560] loss: 4.26152
[32,   672] loss: 4.37037
 --- Finished Training ---
 --- Wrote image to 'test_image_results/img000.png'
 --- Wrote image to 'test_image_results/img001.png'
 --- Wrote image to 'test_image_results/img002.png'
 --- Wrote image to 'test_image_results/img003.png'
 --- Wrote image to 'test_image_results/img004.png'
 --- Wrote image to 'test_image_results/img005.png'
 --- Wrote image to 'test_image_results/img006.png'
 --- Wrote image to 'test_image_results/img007.png'
 --- Wrote image to 'test_image_results/img008.png'
 --- Wrote image to 'test_image_results/img009.png'
 --- Test Batch #1 Loss: 5.516013 ---
 --- Wrote image to 'test_image_results/img010.png'
 --- Wrote image to 'test_image_results/img011.png'
 --- Wrote image to 'test_image_results/img012.png'
 --- Wrote image to 'test_image_results/img013.png'
 --- Wrote image to 'test_image_results/img014.png'
 --- Wrote image to 'test_image_results/img015.png'
 --- Wrote image to 'test_image_results/img016.png'
 --- Wrote image to 'test_image_results/img017.png'
 --- Wrote image to 'test_image_results/img018.png'
 --- Wrote image to 'test_image_results/img019.png'
